タスク/プロジェクト名,カテゴリー,ステータス,タグ,ブロック,ブロック 1,予算/コスト,依存関係,優先順位,担当者,終了日,進捗状況,開始日
完成版README作成,Phase5,Not Started,,,,,,高,私,2026年2月27日,0%,2026年2月24日
最終コードの確認,Phase5,Not Started,,,,,,高,私,2026年2月27日,0%,2026年2月24日
デプロイ済みシステムの確認,Phase5,Not Started,,,,,,高,私,2026年2月27日,0%,2026年2月24日
コードレビューを再実施し、リファクタリング,Phase5,Not Started,,,,,,高,私,2026年2月27日,0%,2026年2月24日
エラーなく起動するか確認,Phase5,Not Started,,,,,,高,私,2026年2月27日,0%,2026年2月24日
起動手順確認,Phase5,Not Started,,,,,,高,私,2026年2月27日,0%,2026年2月24日
READMEに起動手順や使用技術を明記,Phase5,Not Started,,,,,,高,私,2026年2月27日,0%,2026年2月24日
アプリ概要、機能一覧、設計ポイント、苦労した点、今後の改善を記載,Phase5,Not Started,,,,,,高,私,2026年2月27日,0%,2026年2月24日
CSVインポート・エクスポート機能の実装とテスト（正常系・異常系）,Phase4,Not Started,,,,,,高,私,2026年2月23日,0%,2026年2月4日
コードレビューを実施（GitHubのPull Requestを活用）,Phase4,Not Started,,,,,,高,私,2026年2月23日,0%,2026年2月4日
各機能の実装後にJUnitを使用したユニットテストを実施,Phase4,Not Started,,,,,,高,私,2026年2月23日,0%,2026年2月4日
機能ごとにスプリントを設定し、並行して進める,Phase4,Not Started,,,,,,高,私,2026年2月23日,0%,2026年2月4日
WBS作成（タスクの細分化とスケジュール管理）,Phase3,Not Started,,,,,,高,私,2026年2月3日,0%,2026年1月25日
CSVインポート・エクスポートの仕様設計（フォーマット、バリデーション、エラー処理）,Phase3,Not Started,,,,,,高,私,2026年2月3日,0%,2026年1月25日
簡易画面遷移図を作成（FigmaやAdobe XDを活用）,Phase3,Not Started,,,,,,高,私,2026年2月3日,0%,2026年1月25日
DB設計（テーブル定義書、ER図作成）,Phase3,Not Started,,,,,,高,私,2026年2月3日,0%,2026年1月25日
URL設計メモの作成,Phase3,Not Started,,,,,,高,私,2026年2月3日,0%,2026年1月25日
必要な画面の洗い出し（ログイン、一覧、詳細、登録/編集）,Phase3,Not Started,,,,,,高,私,2026年2月3日,0%,2026年1月25日
