タスク/プロジェクト名,カテゴリー,ステータス,タグ,ブロック,ブロック 1,予算/コスト,依存関係,優先順位,担当者,終了日,進捗状況,開始日
推奨テーマから1つ選択,Phase1,Not Started,,,,,,高,私,2026年1月13日,0%,2026年1月12日
差別化ポイントを明確化,Phase1,Not Started,,,,,,高,私,2026年1月13日,0%,2026年1月12日
ユーザーの課題やニーズを洗い出す,Phase1,Not Started,,,,,,高,私,2026年1月14日,0%,2026年1月14日
競合アプリをリサーチして成功基準を定義,Phase1,Not Started,,,,,,高,私,2026年1月14日,0%,2026年1月14日
必須機能（CRUD、認証、バリデーション）のリストアップ,Phase2,Not Started,,,,,,高,私,2026年1月15日,0%,2026年1月15日
非機能要件の定義（画面遷移、セキュリティ、例外処理）,Phase2,Not Started,,,,,,高,私,2026年1月15日,0%,2026年1月15日
工数見積もりを追加し、スコープを明確化,Phase2,Not Started,,,,,,高,私,2026年1月16日,0%,2026年1月16日
WBSを作成し、タスクを細分化,Phase2,Not Started,,,,,,高,私,2026年1月16日,0%,2026年1月16日
必要な画面の洗い出し（ログイン、一覧、詳細、登録/編集）,Phase3,Not Started,,,,,,高,私,2026年1月22日,0%,2026年1月18日
URL設計メモの作成,Phase3,Not Started,,,,,,高,私,2026年1月22日,0%,2026年1月18日
DB設計（テーブル定義書、ER図作成）,Phase3,Not Started,,,,,,高,私,2026年1月22日,0%,2026年1月18日
簡易画面遷移図を作成（FigmaやAdobe XDを活用）,Phase3,Not Started,,,,,,高,私,2026年1月22日,0%,2026年1月18日
CSVインポート・エクスポートの仕様設計（フォーマット、バリデーション、エラー処理）,Phase3,Not Started,,,,,,高,私,2026年1月22日,0%,2026年1月18日
WBS作成（タスクの細分化とスケジュール管理）,Phase3,Not Started,,,,,,高,私,2026年1月22日,0%,2026年1月18日
機能ごとにスプリントを設定し、並行して進める,Phase4,Not Started,,,,,,高,私,2026年2月11日,0%,2026年1月23日
各機能の実装後にJUnitを使用したユニットテストを実施,Phase4,Not Started,,,,,,高,私,2026年2月11日,0%,2026年1月23日
コードレビューを実施（GitHubのPull Requestを活用）,Phase4,Not Started,,,,,,高,私,2026年2月11日,0%,2026年1月23日
CSVインポート・エクスポート機能の実装とテスト（正常系・異常系）,Phase4,Not Started,,,,,,高,私,2026年2月11日,0%,2026年1月23日
アプリ概要、機能一覧、設計ポイント、苦労した点、今後の改善を記載,Phase5,Not Started,,,,,,高,私,2026年2月15日,0%,2026年2月12日
READMEに起動手順や使用技術を明記,Phase5,Not Started,,,,,,高,私,2026年2月15日,0%,2026年2月12日
起動手順確認,Phase5,Not Started,,,,,,高,私,2026年2月15日,0%,2026年2月12日
エラーなく起動するか確認,Phase5,Not Started,,,,,,高,私,2026年2月15日,0%,2026年2月12日
コードレビューを再実施し、リファクタリング,Phase5,Not Started,,,,,,高,私,2026年2月15日,0%,2026年2月12日
