Product ID,Product Name,Product Category,Product Description,Price,Stock Quantity,Warranty Period,Product Dimensions,Manufacturing Date,Expiration Date,SKU,Product Tags,Color/Size Variations,Product Ratings
93TGNAY7,Laptop,Home Appliances,Product_XU5QX,253.17,3,2,16x15x15 cm,2023-01-01,2026-01-01,8NMFZ4,"VNU,NZ6",Green/Large,2
TYYZ5AV7,Smartphone,Clothing,Product_NRUMS,214.37,92,2,15x19x19 cm,2023-03-15,2025-01-01,7P5YCW,"ZJA,0D3",Red/Small,2
5C94FGTQ,Headphones,Clothing,Product_IT7HG,475.29,19,2,9x6x6 cm,2023-03-15,2026-01-01,YW5BME,"ZNG,MAP",Red/Small,1
XBHKYPQB,Monitor,Clothing,Product_8SBDO,403.33,40,1,7x13x5 cm,2023-01-01,2026-01-01,65MQC3,"RPP,M40",Green/Large,1
728GCZFU,Laptop,Home Appliances,Product_54FAF,229.81,32,2,20x20x19 cm,2023-07-30,2026-01-01,RLCBRW,"R8U,X46",Blue/Medium,4
27R9M103,Smartphone,Electronics,Product_Z5CGR,18.87,98,3,11x16x7 cm,2023-01-01,2024-01-01,UKNO5L,"KMQ,39Z",Green/Large,5
JDOVOMY2,Headphones,Home Appliances,Product_7IBNL,81.29,32,3,14x18x14 cm,2023-01-01,2026-01-01,L72TO4,"8JR,Z6A",Green/Large,2
0KHFMXFN,Monitor,Home Appliances,Product_GFUOS,21.35,48,2,11x6x11 cm,2023-01-01,2026-01-01,4C11JZ,"M0V,5ES",Blue/Medium,1
T4F2EW7G,Monitor,Home Appliances,Product_VSWHF,229.05,100,3,5x6x9 cm,2023-01-01,2025-01-01,8CE8EZ,"QVL,QKX",Green/Large,5
GL199BEL,Smartphone,Clothing,Product_HMH7Q,446.23,47,2,12x5x10 cm,2023-01-01,2026-01-01,UHYG3Y,"WNW,S2K",Green/Large,4
SX7HALUU,Monitor,Electronics,Product_SM05O,322.11,74,2,20x5x6 cm,2023-07-30,2024-01-01,45ODXB,"DLM,8UG",Green/Large,2
1AOXE5QW,Headphones,Clothing,Product_IXUWP,371.68,36,2,15x17x13 cm,2023-03-15,2024-01-01,WUKLQ8,"C2U,8GK",Green/Large,1
